Date,Close
25/10/2021,308.130005
26/10/2021,310.109985
27/10/2021,323.170013
28/10/2021,324.350006
29/10/2021,331.619995
01/11/2021,329.369995
02/11/2021,333.130005
03/11/2021,334
04/11/2021,336.440002
05/11/2021,336.059998
08/11/2021,336.98999
09/11/2021,335.950012
10/11/2021,330.799988
11/11/2021,332.429993
12/11/2021,336.720001
15/11/2021,336.070007
16/11/2021,339.51001
17/11/2021,339.119995
18/11/2021,341.269989
19/11/2021,343.109985
22/11/2021,339.829987
23/11/2021,337.679993
24/11/2021,337.910004
26/11/2021,329.679993
29/11/2021,336.630005
30/11/2021,330.589996
01/12/2021,330.079987
02/12/2021,329.48999
03/12/2021,323.01001
06/12/2021,326.190002
07/12/2021,334.920013
08/12/2021,334.970001
09/12/2021,333.100006
10/12/2021,342.540009
13/12/2021,339.399994
14/12/2021,328.339996
15/12/2021,334.649994
16/12/2021,324.899994
17/12/2021,323.799988
20/12/2021,319.910004
21/12/2021,327.290009
22/12/2021,333.200012
23/12/2021,334.690002
27/12/2021,342.450012
28/12/2021,341.25
29/12/2021,341.950012
30/12/2021,339.320007
31/12/2021,336.320007
03/01/2022,334.75
04/01/2022,329.01001
05/01/2022,316.380005
06/01/2022,313.880005
07/01/2022,314.040009
10/01/2022,314.269989
11/01/2022,314.980011
12/01/2022,318.269989
13/01/2022,304.799988
14/01/2022,310.200012
18/01/2022,302.649994
19/01/2022,303.329987
20/01/2022,301.600006
21/01/2022,296.029999
24/01/2022,296.369995
25/01/2022,288.48999
26/01/2022,296.709991
27/01/2022,299.839996
28/01/2022,308.26001
31/01/2022,310.980011
01/02/2022,308.76001
02/02/2022,313.459991
03/02/2022,301.25
04/02/2022,305.940002
07/02/2022,300.950012
08/02/2022,304.559998
09/02/2022,311.209991
10/02/2022,302.380005
11/02/2022,295.040009
14/02/2022,295
15/02/2022,300.470001
16/02/2022,299.5
17/02/2022,290.730011
18/02/2022,287.929993
22/02/2022,287.720001
23/02/2022,280.269989
24/02/2022,294.589996
25/02/2022,297.309998
28/02/2022,298.790009
01/03/2022,294.950012
02/03/2022,300.190002
03/03/2022,295.920013
04/03/2022,289.859985
